Date,Open,High,Low,Close,"Trend ‌Supertrend‌ (7,3)"
Tue May 14 2024 09:20:00 GMT+0530 (India Standard Time),22174.15,22174.15,22116.7,22127.6,22070.43
Tue May 14 2024 09:25:00 GMT+0530 (India Standard Time),22128.65,22144.55,22095.15,22129.9,22070.43
Tue May 14 2024 09:30:00 GMT+0530 (India Standard Time),22130.05,22145.15,22102.15,22123.3,22070.43
Tue May 14 2024 09:35:00 GMT+0530 (India Standard Time),22122.25,22148.2,22114.8,22145.65,22070.43
Tue May 14 2024 09:40:00 GMT+0530 (India Standard Time),22145.2,22150.5,22131.35,22143.7,22070.43
Tue May 14 2024 09:45:00 GMT+0530 (India Standard Time),22143.5,22145.6,22119.15,22131,22070.43
Tue May 14 2024 09:50:00 GMT+0530 (India Standard Time),22132.1,22138.05,22116.4,22121.95,22070.43
Tue May 14 2024 09:55:00 GMT+0530 (India Standard Time),22123.05,22167.55,22118.3,22141.6,22070.43
Tue May 14 2024 10:00:00 GMT+0530 (India Standard Time),22142.45,22143.35,22094.25,22103.65,22070.43
Tue May 14 2024 10:05:00 GMT+0530 (India Standard Time),22104.55,22116.85,22090.35,22101.5,22070.43
Tue May 14 2024 10:10:00 GMT+0530 (India Standard Time),22102.1,22105.45,22081.25,22099.1,22070.43
Tue May 14 2024 10:15:00 GMT+0530 (India Standard Time),22099.2,22127.55,22098.8,22122.85,22070.43
Tue May 14 2024 10:20:00 GMT+0530 (India Standard Time),22123.15,22125.25,22104.1,22107.35,22070.43
Tue May 14 2024 10:25:00 GMT+0530 (India Standard Time),22107.55,22139.95,22102.05,22137.2,22070.43
Tue May 14 2024 10:30:00 GMT+0530 (India Standard Time),22137.1,22144.8,22124.1,22139.75,22070.43
Tue May 14 2024 10:35:00 GMT+0530 (India Standard Time),22139.1,22145.3,22130.75,22142.25,22070.43
Tue May 14 2024 10:40:00 GMT+0530 (India Standard Time),22142.1,22155.35,22134.85,22155.25,22070.43
Tue May 14 2024 10:45:00 GMT+0530 (India Standard Time),22155.75,22157.25,22142.95,22149.25,22074.98
Tue May 14 2024 10:50:00 GMT+0530 (India Standard Time),22149.1,22149.35,22128.75,22132.95,22074.98
Tue May 14 2024 10:55:00 GMT+0530 (India Standard Time),22133.85,22144.45,22131.85,22143.5,22074.98
Tue May 14 2024 11:00:00 GMT+0530 (India Standard Time),22143.8,22163.2,22140.7,22160.5,22083.89
Tue May 14 2024 11:05:00 GMT+0530 (India Standard Time),22160.45,22178.85,22158.8,22171.5,22101.89
Tue May 14 2024 11:10:00 GMT+0530 (India Standard Time),22170.95,22180.65,22169.45,22178.9,22112.88
Tue May 14 2024 11:15:00 GMT+0530 (India Standard Time),22178.9,22189.8,22175.35,22185.15,22123.09
Tue May 14 2024 11:20:00 GMT+0530 (India Standard Time),22183.8,22189.35,22168.2,22173.55,22123.09
Tue May 14 2024 11:25:00 GMT+0530 (India Standard Time),22173.15,22174.85,22159.25,22162.4,22123.09
Tue May 14 2024 11:30:00 GMT+0530 (India Standard Time),22161.7,22175.45,22155.75,22161.8,22123.09
Tue May 14 2024 11:35:00 GMT+0530 (India Standard Time),22161.75,22181.1,22161.1,22179.15,22123.09
Tue May 14 2024 11:40:00 GMT+0530 (India Standard Time),22179.7,22183.65,22175.25,22176.75,22125.68
Tue May 14 2024 11:45:00 GMT+0530 (India Standard Time),22177.3,22189.05,22172.2,22184.9,22127.31
Tue May 14 2024 11:50:00 GMT+0530 (India Standard Time),22185.35,22189.65,22175.7,22177.7,22131
Tue May 14 2024 11:55:00 GMT+0530 (India Standard Time),22177.9,22184.65,22172.4,22180.95,22131
