Unnamed: 0,SYMBOL,NAME OF COMPANY,Industry,SECTOR
811,INDOTECH.NS,Indo Tech Transformers Limited,Others,Others
812,INDOTHAI.NS,Indo Thai Securities Limited,Others,Others
813,INDOWIND.NS,Indowind Energy Limited,Others,Others
814,INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,Others,Others
815,INDSWFTLAB.NS,Ind-Swift Laboratories Limited,Others,Others
816,INDSWFTLTD.NS,Ind-Swift Limited,Others,Others
817,INDTERRAIN.NS,Indian Terrain Fashions Limited,Others,Others
818,INDUSINDBK.NS,IndusInd Bank Limited,Financial Services,Financial Services
819,INDUSTOWER.NS,Indus Towers Limited,Telecommunication,Telecommunication
820,INFIBEAM.NS,Infibeam Avenues Limited,Financial Services,Financial Services
821,INFOBEAN.NS,InfoBeans Technologies Limited,Others,Others
822,INFOMEDIA.NS,Infomedia Press Limited,Others,Others
823,INFY.NS,Infosys Limited,Information Technology,Information Technology
824,INGERRAND.NS,Ingersoll Rand (India) Limited,Capital Goods,Capital Goods
825,INNOVACAP.NS,Innova Captab Limited,Others,Others
826,INOXGREEN.NS,Inox Green Energy Services Limited,Others,Others
827,INOXINDIA.NS,INOX India Limited,Capital Goods,Capital Goods
828,INOXWIND.NS,Inox Wind Limited,Capital Goods,Capital Goods
829,INSECTICID.NS,Insecticides (India) Limited,Others,Others
830,INSPIRISYS.NS,Inspirisys Solutions Limited,Others,Others
831,INTELLECT.NS,Intellect Design Arena Limited,Information Technology,Information Technology
832,INTENTECH.NS,Intense Technologies Limited,Others,Others
833,INTERARCH.NS,Interarch Building Products Limited,Others,Others
834,INTLCONV.NS,International Conveyors Limited,Others,Others
835,INVENTURE.NS,Inventure Growth & Securities Limited,Others,Others
836,IOB.NS,Indian Overseas Bank,Financial Services,Financial Services
837,IOC.NS,Indian Oil Corporation Limited,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
838,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited,Healthcare,Healthcare
839,IONEXCHANG.NS,ION Exchange (India) Limited,Utilities,Utilities
840,IPCALAB.NS,IPCA Laboratories Limited,Healthcare,Healthcare
841,IPL.NS,India Pesticides Limited,Chemicals,Chemicals
842,IRB.NS,IRB Infrastructure Developers Limited,Construction,Construction
843,IRCON.NS,Ircon International Limited,Construction,Construction
844,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,Consumer Services,Consumer Services
845,IREDA.NS,Indian Renewable Energy Development Agency Limited,Others,Others
846,IRFC.NS,Indian Railway Finance Corporation Limited,Financial Services,Financial Services
847,IRIS.NS,Iris Business Services Limited,Others,Others
848,IRISDOREME.NS,Iris Clothings Limited,Others,Others
849,IRMENERGY.NS,IRM Energy Limited,Others,Others
850,ISEC.NS,ICICI Securities Limited,Financial Services,Financial Services
851,ISFT.NS,Intrasoft Technologies Limited,Others,Others
852,ISGEC.NS,Isgec Heavy Engineering Limited,Construction,Construction
853,ITC.NS,ITC Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods
854,ITDC.NS,India Tourism Development Corporation Limited,Others,Others
855,ITDCEM.NS,ITD Cementation India Limited,Construction,Construction
856,ITI.NS,ITI Limited,Telecommunication,Telecommunication
857,IVC.NS,IL&FS Investment Managers Limited,Others,Others
858,IVP.NS,IVP Limited,Others,Others
859,IWEL.NS,Inox Wind Energy Limited,Others,Others
860,IXIGO.NS,Le Travenues Technology Limited,Others,Others
861,IZMO.NS,IZMO Limited,Others,Others
862,J&KBANK.NS,The Jammu & Kashmir Bank Limited,Financial Services,Financial Services
863,JAGRAN.NS,Jagran Prakashan Limited,Others,Others
864,JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited,Others,Others
865,JAIBALAJI.NS,Jai Balaji Industries Limited,Metals & Mining,Metals & Mining
866,JAICORPLTD.NS,Jai Corp Limited,Capital Goods,Capital Goods
867,JAIPURKURT.NS,Nandani Creation Limited,Others,Others
868,JAMNAAUTO.NS,Jamna Auto Industries Limited,Automobile and Auto Components,Automobile and Auto Components
869,JASH.NS,Jash Engineering Limited,Others,Others
870,JAYAGROGN.NS,Jayant Agro Organics Limited,Others,Others
871,JAYBARMARU.NS,Jay Bharat Maruti Limited,Others,Others
872,JAYNECOIND.NS,Jayaswal Neco Industries Limited,Others,Others
873,JAYSREETEA.NS,Jayshree Tea & Industries Limited,Others,Others
874,JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,Healthcare,Healthcare
