Date,Open,High,Low,Close,OI,"Trend ‌Supertrend‌ (7,3)"
Mon May 13 2024 15:20:00 GMT+0530 (India Standard Time),871.4,873.2,866,866,89750,916.55
Mon May 13 2024 15:25:00 GMT+0530 (India Standard Time),866,870,860.25,860.4,90300,916.55
Tue May 14 2024 09:15:00 GMT+0530 (India Standard Time),836.7,838.15,825,830.2,90200,897.17
Tue May 14 2024 09:20:00 GMT+0530 (India Standard Time),830.2,881.3,830.2,871.2,88325,897.17
Tue May 14 2024 09:25:00 GMT+0530 (India Standard Time),871.2,902.5,862.3,885.3,88075,897.17
Tue May 14 2024 09:30:00 GMT+0530 (India Standard Time),885.3,900.55,857.95,900.55,88250,824.79
Tue May 14 2024 09:35:00 GMT+0530 (India Standard Time),900.55,900.55,851,857.3,88750,824.79
Tue May 14 2024 09:40:00 GMT+0530 (India Standard Time),857.3,870.55,855,856,88425,824.79
Tue May 14 2024 09:45:00 GMT+0530 (India Standard Time),856,880.05,856,880.05,88400,824.79
Tue May 14 2024 09:50:00 GMT+0530 (India Standard Time),880.05,888.65,873.05,888.65,87350,824.79
Tue May 14 2024 09:55:00 GMT+0530 (India Standard Time),888.65,888.65,836.15,836.15,87350,824.79
Tue May 14 2024 10:00:00 GMT+0530 (India Standard Time),836.15,910,836.15,902.4,87225,824.79
Tue May 14 2024 10:05:00 GMT+0530 (India Standard Time),902.4,910.25,902.4,910.25,87600,824.79
Tue May 14 2024 10:10:00 GMT+0530 (India Standard Time),910.25,926.8,910,919,87425,826.31
Tue May 14 2024 10:15:00 GMT+0530 (India Standard Time),919,919,881,881,86800,826.31
Tue May 14 2024 10:20:00 GMT+0530 (India Standard Time),881,902.3,881,901.2,87450,826.31
Tue May 14 2024 10:25:00 GMT+0530 (India Standard Time),901.2,901.2,865,865,87275,826.31
Tue May 14 2024 10:30:00 GMT+0530 (India Standard Time),865,880,861,861,87250,826.31
Tue May 14 2024 10:35:00 GMT+0530 (India Standard Time),861,874.1,861,862,87200,826.31
Tue May 14 2024 10:40:00 GMT+0530 (India Standard Time),862,871.9,850.9,850.9,86925,826.31
Tue May 14 2024 10:45:00 GMT+0530 (India Standard Time),850.9,860.55,850.55,860.55,87450,826.31
Tue May 14 2024 10:50:00 GMT+0530 (India Standard Time),855.65,875,855.65,875,87450,826.31
Tue May 14 2024 10:55:00 GMT+0530 (India Standard Time),875,875,866.05,866.05,87400,826.31
Tue May 14 2024 11:00:00 GMT+0530 (India Standard Time),866.05,866.05,830,832.55,87300,826.31
Tue May 14 2024 11:05:00 GMT+0530 (India Standard Time),832.55,832.55,823,825.55,87400,891.81
Tue May 14 2024 11:10:00 GMT+0530 (India Standard Time),825.55,828.8,825.05,825.05,87475,883.42
Tue May 14 2024 11:15:00 GMT+0530 (India Standard Time),825.05,830.05,809.1,818.5,87550,876.97
Tue May 14 2024 11:20:00 GMT+0530 (India Standard Time),818.5,832.55,818.5,830.85,87550,876.97
Tue May 14 2024 11:25:00 GMT+0530 (India Standard Time),830.85,841.55,828.35,841.15,87800,876.97
Tue May 14 2024 11:30:00 GMT+0530 (India Standard Time),841.15,850.55,829.6,841.35,87700,876.97
Tue May 14 2024 11:35:00 GMT+0530 (India Standard Time),841.35,841.35,830,830,87725,876.97
Tue May 14 2024 11:40:00 GMT+0530 (India Standard Time),830,830,823,825.1,87725,873.64
Tue May 14 2024 11:45:00 GMT+0530 (India Standard Time),825.1,825.5,815,815.7,87975,865.15
Tue May 14 2024 11:50:00 GMT+0530 (India Standard Time),815.7,815.95,815.7,815.95,87975,854.42
Tue May 14 2024 11:55:00 GMT+0530 (India Standard Time),815.95,822,815,816,87925,854.42
Tue May 14 2024 12:00:00 GMT+0530 (India Standard Time),816,816.95,805.75,805.75,87950,847.08
Tue May 14 2024 12:05:00 GMT+0530 (India Standard Time),805.75,818.35,805.75,815,87825,847.08
Tue May 14 2024 12:10:00 GMT+0530 (India Standard Time),815,823.55,815,820.05,87950,847.08
Tue May 14 2024 12:15:00 GMT+0530 (India Standard Time),820.05,841.55,820.05,841.55,87825,847.08
Tue May 14 2024 12:20:00 GMT+0530 (India Standard Time),841.55,841.55,820.75,823.15,87525,847.08
Tue May 14 2024 12:25:00 GMT+0530 (India Standard Time),823.15,825.45,819.55,819.55,87950,847.08
